marker_kind,position_x_world_units,position_y_world_units,team_id
spawn,712.500000000,320.000000000,
spawn,708.032577694,365.358499869,
spawn,694.801991309,408.973898025,
spawn,673.316684860,449.170079177,
spawn,644.402326626,484.402326626,
spawn,609.170079177,513.316684860,
spawn,568.973898025,534.801991309,
spawn,525.358499869,548.032577694,
spawn,480.000000000,552.500000000,
spawn,434.641500131,548.032577694,
spawn,391.026101975,534.801991309,
spawn,350.829920823,513.316684860,
spawn,315.597673374,484.402326626,
spawn,286.683315140,449.170079177,
spawn,265.198008691,408.973898025,
spawn,251.967422306,365.358499869,
spawn,247.500000000,320.000000000,
spawn,251.967422306,274.641500131,
spawn,265.198008691,231.026101975,
spawn,286.683315140,190.829920823,
spawn,315.597673374,155.597673374,
spawn,350.829920823,126.683315140,
spawn,391.026101975,105.198008691,
spawn,434.641500131,91.967422306,
spawn,480.000000000,87.500000000,
spawn,525.358499869,91.967422306,
spawn,568.973898025,105.198008691,
spawn,609.170079177,126.683315140,
spawn,644.402326626,155.597673374,
spawn,673.316684860,190.829920823,
spawn,694.801991309,231.026101975,
spawn,708.032577694,274.641500131,
